 Board : D:\pro.166\hm2.prime_h610m2-tf.100.230613948\hm2.prime_h610m2-tf.100.230613948-tr.brd
 Unit  : mil & mm
 Date  : Tue Jun 20 13:41:56 2023

---------------------------------------------------------------------------------------------------
                     TOP  LAYER  COMPONENT  CENTER  REPORT
---------------------------------------------------------------------------------------------------
         |                        |                  |        MIL        |        MM         |   | 
         |                        |                  |-------------------|-------------------|   | 
 refdes  |      device type       |     package      |    x    |    y    |    x    |    y    |ang|m
---------------------------------------------------------------------------------------------------
AAFP      HEADER_2X5P_K8_MBS_HD_2X5P_K8_A/HEADER_2X5P_K8 MBS_HD_2X5P_K8_AUDIO_LF3    950.00    190.00    24.130     4.826 0   N
AC1       C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             704.00   3403.00    17.882    86.436 90  N
AC2       C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             225.00   2833.00     5.715    71.958 90  N
AC3       C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             666.00   3403.00    16.916    86.436 270 N
AC4       C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             747.00   3403.00    18.974    86.436 90  N
AC5       C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             170.00   3350.00     4.318    85.090 270 N
AC6       C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             175.00   2833.00     4.445    71.958 90  N
AC13      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             590.00    320.00    14.986     8.128 0   N
AC14      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             590.00    220.00    14.986     5.588 0   N
AC15      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             500.00    220.00    12.700     5.588 180 N
AC16      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             500.00    170.00    12.700     4.318 180 N
AC17      C_MBS_C0805_10UF/6.3V/10UF/6.3V MBS_C0805             215.00    606.00     5.461    15.392 180 N
AC18      C_MBS_C0805_10UF/6.3V/10UF/6.3V MBS_C0805             215.00    541.00     5.461    13.741 180 N
AC19      C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603             215.00    715.00     5.461    18.161 0   N
AC20      C_MBS_C0603_4.7UF/6.3V/4.7UF/6.3V MBS_C0603             215.00    665.00     5.461    16.891 0   N
AC21      C_MBS_C0805_10UF/6.3V/10UF/6.3V MBS_C0805             215.00   1020.00     5.461    25.908 180 N
AC22      C_MBS_C0805_10UF/6.3V/10UF/6.3V MBS_C0805             215.00    950.00     5.461    24.130 180 N
AC23      C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             470.00   3981.00    11.938   101.117 180 N
AC24      C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             590.00   3370.00    14.986    85.598 0   N
AC27      C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             695.00    365.00    17.653     9.271 180 N
AC32      C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1605.00    455.00    40.767    11.557 0   N
AC46      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             740.00    730.00    18.796    18.542 270 N
AC47      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             555.00    550.00    14.097    13.970 270 N
AC48      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             325.00    970.00     8.255    24.638 180 N
AC49      C_MBS_C0402_100PF/50V/100PF/50V MBS_C0402             615.00    550.00    15.621    13.970 270 N
ACE1      CAP_MBS_CPL_10U_10V_4X6_LFH_MS_/10UF/10V MBS_CPL_10U_10V_4X6_LFH_MS    855.00    860.00    21.717    21.844 270 N
ACE2      CAP_MBS_CPL_10U_10V_4X6_LFH_MS_/10UF/10V MBS_CPL_10U_10V_4X6_LFH_MS    855.00    675.00    21.717    17.145 270 N
ACE9      CAP_MBS_CPL_100U16V6D3X9_LFH_MS/100UF/16V MBS_CPL_100U16V6D3X9_LFH_MS   1130.00    440.00    28.702    11.176 270 N
ACE10     CAP_MBS_CPL_100U16V6D3X9_LFH_MS/100UF/16V MBS_CPL_100U16V6D3X9_LFH_MS    855.00    440.00    21.717    11.176 270 N
AD1       BAT54AW_MBS_SOT323_BAT54AW/BAT54AW MBS_SOT323            225.00    200.00     5.715     5.080 180 N
AD2       BAT54AW_MBS_SOT323_BAT54AW/BAT54AW MBS_SOT323            225.00    455.00     5.715    11.557 180 N
AETCH1    SHORT_GND_S_SHORT_GND_SHORT_GND/Short_GND S_SHORT_GND           530.00    895.00    13.462    22.733 0   N
AGC1      C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402             673.00   3208.00    17.094    81.483 90  N
AGC2      C_MBS_C0402_0.1UF/16V/0.1UF/16V MBS_C0402            1265.00    170.00    32.131     4.318 180 N
